CdStationHydro;LbStationHydro;Lng;Lat
J4734010;L'Inam au Faouet [Pont Priant];-3.555951;48.047619
J4742010;L'Elle a Arzano [Pont Ty Nadan];-3.469043;47.90416
J4742015;L'Elle a Lanvenegen [Loge-coucou];-3.493808;47.985032
J4803010;L'Isole a Scaer [Stang Boudilin];-3.671179;47.98786
J4813010;L'Isole a Quimperle [Place Bremont d'Ars];-3.546187;47.87554
J4902010;La Laita a Quimperle;-3.54406;47.865231
J5102210;Le Scorff a Plouay [Pont Kerlo];-3.419385;47.905043
J5202110;Le Blavet a Kerien [Kerlouet];-3.251059;48.391522
J5205210;Le Lestolet a Kerien;-3.244541;48.387388
J5212110;Le Blavet a Plounevez-Quintin [Pors Foret];-3.234076;48.324123
J5212120;Le Blavet a Lanrivain;-3.248447;48.342271
J5222110;Le Blavet a Gouarec;-3.177776;48.227087
J5224010;Le Sulon a Sainte-Trephine;-3.152966;48.255794
J5402110;Le Blavet a Laniscat [St HERVE];-3.158748;48.213251
J5412110;Le Blavet a Mur-de-Bretagne [Guerledan];-3.01904;48.190407
J5432110;Le Blavet a Neulliac [Le Porzo];-3.000838;48.113367
J5606810;Le Coetdan a Guenin [Stimoes];-2.812938;47.97765
J5613010;L'Evel a Guenin;-2.974528;47.900861
J5618310;Le Fremeur a Guenin;-2.953465;47.937709
J5618320;Le Fremeur a Plumeliau;-2.953575;47.938001
J5704810;Le Coet-Organ a Quistinic [Kerdec];-3.201175;47.905433
J5712130;Le Blavet a Languidic [Quellenec];-3.221744;47.830994
J6213010;Le Loch a Brech;-2.990074;47.720625
J6407110;Le Rohan a Saint-Ave [Guern];-2.790165;47.706319
J6407120;Le Rohan inferieur a Vannes [Menimur];-2.770568;47.66829
J6604410;Le Kervilly a Questembert;-2.490004;47.647924
J7000610;La Vilaine a Bourgon;-1.058209;48.186435
J7010610;La Vilaine a Vitre;-1.222842;48.122828
J7010620;La Vilaine a Saint-M'Herve;-1.108438;48.144984
J7010630;La Vilaine a Erbree [Rideux];-1.145107;48.143469
J7024010;La Valiere a Erbree;-1.126476;48.108702
J7024020;La Valiere a Argentre-du-Plessis;-1.165857;48.076847
J7053010;La Cantache a Champeaux [Rabaud];-1.274192;48.136426
J7060610;La Vilaine a Servon-sur-Vilaine;-1.465825;48.116976
J7060620;La Vilaine a Chateaubourg;-1.403979;48.108045
J7083110;Le Chevre a la Bouexiere;-1.498695;48.183119
J7090610;La Vilaine a Cesson-Sevigne [Cesson];-1.609231;48.114479
J7090630;La Vilaine a Cesson-Sevigne [Sevigne];-1.563545;48.123724
J7103010;L'Ille a Montreuil-sur-Ille;-1.673311;48.296243
J7114010;L'Illet a Chasne-sur-Illet;-1.574889;48.24727
J7214010;La Flume a Pace;-1.779958;48.180517
J7214050;La Flume a Pace;-2.504519;48.153872
J7214080;La Flume a Pace [Inra];-1.779902;48.181528
J7214090;La Flume a Pace;-1.779902;48.181528
J7224010;Le Blosne a Chantepie;-1.640781;48.083134
J7313010;Le Meu a Gael;-2.217007;48.126833
